Name,Price
LoBok (Daikon Radish),$3.09
Bean Sprouts,$2.29
President's Choice Red Thai Hot Peppers,$4.99
Shallots,$5.99
Pie Pumpkin,$1.99
Baby Bok Choy,$4.35
Baby Napa,$6.59
Long Beans,$0.50
Sweet Onions 3lb Bag,$6.99
PC Organics Organics Multicolour Carrots,$5.99
PC Organics Organics Baby Cut Carrots (2 lb bag),$6.49
Campari Tomatoes 2lb,$5.99
Farmer's Market Sweet Potatoes,$6.99
"Painted Halloween Pumpkin, Baby Boo",$3.99
Organic Carrots Bunched,$3.99
Organic Acorn Squash,$5.16
"Potato White/Russet Small, 3lb",$1.99
French Bean,$8.99
Organic Leeks,$5.99
White Yams,$6.61
Organic Green Kale,$3.99
Green Swiss Chard,$3.99
Turnips,$2.50
Manns Snap Peas,$8.99
Organic Iceberg Lettuce,$3.99
Shishito Peppers,$4.99
The Little Potato Company Microwave Ready Lemon and Garden Herb Potatoes,$4.99
Black Trumpet Mushrooms,$1.38
Collard Greens,$3.99
President's Choice Yellow Mini Potatoes,$4.49
Radish,$2.99
Bok Choy,$2.63
Dried Porcini Mushrooms,$5.99
Endive,$5.99
Chanterelle Mushrooms,$1.38
Escarole,$2.99
"Tiger Halloween Pumpkins, 3 Pack",$5.99
Manns Snap Peas,$5.99
Broccolini,$3.99
PC Organics Organic Russet Potatoes,$4.99
Russet Potato,$1.89
Pearl Onion,$3.79
President's Choice Jalapeno Hot Peppers,$4.99
President's Choice Green Thai Hot Peppers,$4.99
Romaine Hearts,$8.99
"President's Choice Live Lettuce Red, 1-count",$3.99
PC Organics Organics Broccoli,$4.99
PC Organics Organic Peppers,$6.99
Organic Collard Greens,$4.99
Vero Tomato,$6.99
PC Organics Organics Whole Button Cremini Mushrooms,$3.99
Cassava,$2.99
Organic Swiss Chard Greens,$4.99
PC Organics Organic Garlic,$3.99
"Chanterelle Mushrooms, Dried",$5.99
Indian Okra,$4.10
PC Organics Romaine Lettuce Hearts,$6.99
"Garlic, Peeled",$3.49
Shanghai Bok Choy,$4.22
Organic Fennel,$6.99
"Red Beets, Bunched",$3.99
Pumpkin Mix Varietal,$4.49
Farmer's Market Mixed Peppers (6 Pack),$8.99
Italian Eggplants,$1.78
Cubanelle Peppers,$1.87
Karela (1Pack),$3.12
Snap Peas,$4.49
PC Organics Organic Mini Carrots 1lb Bag,$3.99
Green Garlic,$4.99
Lettuce Little Gem,$5.99
Jamaican Thyme,$2.31
"Peppers, Mini",$5.99
Spanish Onion,$1.81
Organic Gold Beet Bunch,$5.49
President's Choice Pencil Hot Hot Peppers,$4.99
Organic Brussel Sprouts,$6.99
"Taro Root, Medium",$16.46
President's Choice Live Lettuce Boston,$3.49
Mini Painted Halloween Pumpkins,$3.99
President's Choice Finger Hot Hot Peppers,$4.99
Brussels Sprouts,$0.26
Organic Red Onions,$5.99
Yellow Oyster Mushroom,$8.99
President's Choice Red Potatoes,$5.99
Snow Peas,$4.49
Red Leaf Lettuce,$2.99
Curry Leaf (1 pack),$2.99
Farmer's Market Red Potatoes 10lb Bag,$6.99
PC Organics Organic Green Onions,$1.99
Colossal Pumpkin,$8.99
President's Choice Live Lettuce Tri Mix - 1 Unit,$3.99
White Mushrooms,$0.36
Organic Green Cabbage,$7.68
Turmeric,$4.32
Caribbean Sweet Potatoes,$1.70
Jamaican Pumpkin,$8.24
"Carrots, Bunched",$2.99
"President's Choice Live Lettuce Trio, 2-pack",$5.99
Mixed Dried Mushrooms,$5.99
Fennel,$4.99
Lotus Root,$2.97
White Potatoes,$1.98
Castelfranco Radicchio Lettuce,$4.62
PC Organics Organic Ginger,$3.99
Fiddleheads,$6.99
"Morel Mushrooms, Dried",$12.99
Purple Eggplants,$3.76
Manns Snow Peas,$5.99
Chayote Squash,$7.69
Rapini,$3.99
Beta Sweet Carrots,$5.99
Organic Beet Bunch,$5.49
Rutabaga,$3.12
Chinese Napa Cabbage,$3.18
Chinese Broccoli (gai lan),$5.37
PC Organics Organic Carrots,$3.99
Shanghai Bok Choy Jr.,$3.95
Yu Choy Sum,$5.15
President's Choice Mixiany Cherry Tomatoes,$6.99
President's Choice Anaheim Hot Peppers,$4.99
"Shiitake Mushrooms, Dried",$4.99
Hedgehog Mushrooms,$1.38
PC Organics Organics Whole Cremini Mushrooms,$3.49
Parsnip,$1.92
Baby Bok Choy Jr,$5.15
Sweet Baby Cauliflower,$3.99
Parsley Root,$5.99
Organic Grape Tomatoes,$9.99
Savoy Cabbage,$3.20
Yellow Beans,$5.99
President's Choice White Potatoes,$4.99
"Greenhouse Peppers, Yellow",$2.20
Jalapeno Peppers,$0.55
President's Choice Cocktail Tomatoes,$3.99
Farmer's Market Sweet Corn,$5.49
Microwave Ready Garlic Parsley Potatoes,$4.99
The Little Potato Company Microwave Ready Garlic Parsley Potatoes,$4.99
Naked Leaf Living Basil,$3.99
PC Organics Organics Sliced Cremini Mushrooms,$3.69
Organic Rainbow Swiss Chard,$4.99
"Onion Bulb, Bunch",$3.99
PC Organics Organics Whole White Mushrooms,$8.99
Morel Mushrooms,$1.65
Cauliflower Florets,$3.76
Jamaican Sweet Potatoes,$5.28
President's Choice Yellow Potatoes,$5.99
President's Choice Fingerling Potatoes,$4.49
Yellow Potatoes,$1.65
Kumato Tomatoes,$6.99
PC Organics Organic Button White Mushrooms,$3.99
President's Choice Mini Sweet Peppers,$5.99
Farmer's Market Roma Tomatoes,$6.99
Baby Eggplants (1 pack),$3.70
Taiwanese Flat Cabbage,$4.96
Celery Root,$5.00
"Lemon Grass, 2 Pack",$2.99
Green Beans,$4.99
Kohlrabi,$2.15
Parsnips 2lb Bag,$4.99
Organic Butternut Squash,$7.80
PC Organics Celery Hearts,$5.99
Red Beets,$3.99
Spaghetti Squash,$4.13
Yellow Yams,$7.71
"Organic, Red Kale",$3.99
"Blue Cluster Mushroom, Fresh",$8.26
PC Organics Organics Yellow Onions,$3.99
President's Choice Ruby and Golden Little Gems,$8.99
Red Beets,$0.83
Farmer's Market Greenhouse Peppers,$5.99
French Beans,$4.99
The Little Potato Company Fresh Creamer Potatoes Smoked Salt,$4.99
PC Organics Organics Whole Oyster Mushrooms,$3.99
Organic Black Kale,$3.99
President's Choice Yellow Hot Hot Peppers,$4.99
Pink Onions,$3.99
Yellow Onion,$1.54
Curly Endive,$3.49
Frisee Lettuce 2-pack,$4.99
President's Choice Ruby Little Gems Potatoes,$4.49
"President's Choice Live Lettuce Red/Green, 2-pack",$5.99
PC Organics Organic Cremini Mushrooms,$8.99
PC Organics Organic Cucumber Mini,$5.99
"Roasting Potato, BBQ",$4.99
The Little Potato Company Microwave Ready Savoury Herb Potatoes,$4.99
Vietnamese Basil,$2.33
Jamaican Ginger,$4.05
Snow Pea Sprouts,$2.99
"Portobello Mushrooms, Bulk",$1.85
"PC Organics Mushroom White, Sliced",$3.69
Bluefoot Mushrooms,$1.93
Parsnips 1lb Bag,$4.99
Baby Spinach,$7.05
Horseradish,$6.94
Fresh Hedgehog Mushrooms,$9.99
Coloured Carrots,$3.99
Chanterelle Mushroom,$9.99
Eddoes,$1.32
"Organic Squash, Buttercup",$5.49
Pink Oyster Mushroom,$8.99
Bi-Colour Corn,$5.99
Lions Mane Mushroom,$8.99
Lemongrass,$1.69
Garlic Bulbs,$7.99
Matchstick Carrots,$2.99
"President's Choice Live Lettuce Green, 2-pack",$5.99
"Roasting Potato, Onion",$4.99
PC Organics Organic Yellow Potatoes,$5.99
Organic Rainbow Carrots,$5.99
President's Choice Russet Potatoes,$4.99
PC Organics Organic Sweet Potatoes 3lb Bag,$6.99
Watercress,$1.99
Leeks,$4.99
Acorn Squash,$2.76
"Bananas, Bunch",$1.75
Strawberries 1LB,$4.99
Raspberries 1/2 pint,$4.49
PC Organics Gala Apples,$1.94
McIntosh Apples,$1.10
Star Fruit,$3.99
Red Seedless Watermelon,$9.99
Fuyu Persimmon,$1.49
"Manzano Bananas, Bunch",$3.78
Alphonso mango,$5.99
Ataulfo Mango,$2.49
Farmer's Market Red Delicious Apples,$7.99
"Mini Bananas, Bunch",$2.17
Clementines,$7.99
President's Choice Easy To Peel Orri Mandarin Oranges,$5.99
Caribbean Avocado,$3.99
No Name Naturally Imperfect Lemons 3lb Bag,$7.99
D'Anjou Pears,$1.85
Chocolate Caramel Apples,$8.99
Apple Cosmic Crisp,$2.01
Black Mission Figs,$5.99
Golden Delicious Apples,$1.45
Red Anjou Pears,$1.54
"Pears, Rocha",$6.99
Farmer's Market Red Grapefruit,$9.99
PC Organics Organic Bartlett Pears,$1.76
PC Organics Organic Lime,$6.99
Avocado Case,$13.99
Pineapple,$4.99
Cherimoya,$4.99
Yellow Asian Pears,$2.11
Cortland Apples,$1.15
President's Choice Black Seedless Grapes,$15.07
Farmer's Market Golden Delicious Apples,$7.99
Red Sour Cherries,$34.99
Dragon Fruit,$4.99
PC Organics Blueberries,$9.99
Maya Mango,$3.49
Plums,$4.99
Papaya,$5.14
Galia Melons,$6.99
Farmer's Market Cortland Apples,$7.99
President's Choice Blood Oranges,$6.99
PC Organics Honeycrisp Apples 3Lb Bag,$13.99
"Mango, Sweet",$4.29
Clementine Stem & Leaf,$1.62
Physalis (Gooseberries),$4.99
Cactus Pears 12X4ct,$3.99
Guava,$7.71
PC Organics Granny Smith Apples 3Lb Bag,$12.99
PC Organics Organic Granny Smith Apples,$1.67
PC Organics Organic Bosc Pears,$2.08
Green Mangoes,$10.00
Hami Melons,$16.03
"Farmer's Market Bartlett Pear, 2 L",$6.99
Spartan Apples,$1.38
Farmer's Market Bosc Pears,$6.99
Halo Mandarin,$8.99
Yellow Dragon Fruit,$5.49
Fresh Coconut Young,$4.99
Passion Fruit,$1.99
"PC Organics Avocados, Bag",$5.99
Farmer's Market Ambrosia Apples,$8.99
Cranberries,$3.49
Physalis Peruviana (Cape Gooseberry),$2.49
Baby Kiwi Fruit,$8.99
Quince,$3.99
Red Mango (case),$10.99
Fresh Kiwi Fruit,$5.99
PC Organics Organic Honeycrisp Apples,$2.77
Honeydew Melon,$8.99
Large Organic Pineapple,$5.99
President's Choice Plumcots,$8.71
Abate Fetel Pears,$2.11
Farmer's Market Honeycrisp Apples,$11.99
Fuji Apples,$1.58
Organic Blackberries,$5.99
Farmer's Market Mango Red 3Ct,$4.99
Green Figs,$1.69
President's Choice Apriplum,$11.00
Farmer's Market Granny Smith Apples,$10.99
PC Organics Green Seedless Grapes,$10.99
Red Grapefruit,$2.99
Persimmons Kaki,$5.99
Peaches,$1.94
Organic Strawberries 1 LB,$6.99
White Pummelos,$3.99
Prickly Pears,$6.99
Farmer's Market Fuji Apples,$7.99
President's Choice Blueberries,$8.99
"Yellow Watermelon, Seedless",$7.99
PC Organics Red Seedless Grapes,$10.99
Organic Cantaloupe,$5.99
"Red Bananas, Bunch",$3.74
Farmer's Market Empire Apples,$7.99
PC Organics Gala Apples 3Lb Bag,$9.99
Organic Green Kiwi,$5.99
SweeTango Apple (2 lb bag),$5.49
SweeTango Apples,$1.38
Granadilla,$2.99
Farmer's Market Spartan Apples,$7.99
Coconuts,$2.49
Bosc Pears,$1.45
President's Choice Coleslaw,$3.49
President's Choice Baby Spinach,$3.99
President's Choice Baby Spinach,$5.99
Cooking Spinach,$3.99
Eat Smart Sweet Kale Salad Kit,$5.99
PC Organics Organics Baby Spinach,$5.99
PC Organics Organics Baby Spinach,$7.99
Taylor Farms Dill Pickle Chopped Salad Kit,$6.99
President's Choice Arugula,$3.99
President's Choice Spring Mix,$3.99
President's Choice Caesar Salad Kit,$4.99
President's Choice Spring Mix,$5.99
PC Organics Baby Arugula,$5.99
President's Choice Garden Salad,$3.99
Cello Spinach,$4.99
President's Choice Salad Kit Chopped Sesame Wonton,$6.99
PC Organics Field Greens Salad Mix,$7.99
President's Choice 50-50 Blend - A Blend of Baby Spinach and Field Greens,$5.99
PC Blue Menu Caesar Salad Kit,$4.99
President's Choice Baby Arugula Spinach Blend,$3.99
PC Organics Field Greens Salad Mix,$5.99
President's Choice Caesar Salad Chop Kit,$6.99
President's Choice Chipotle Ranch Chop Salad Kit,$6.99
Large Caesar Salad,$12.00
President's Choice Sweet Baby Lettuce,$3.99
President's Choice Chopped Mexican Style Street Corn Salad Kit,$6.99
President's Choice Broccoli Slaw,$3.99
Taylor Farms Everything Chopped Salad Kit,$6.99
President's Choice Romaine Salad,$3.99
Taylor Farms Buffalo Ranch Chopped Salad Kit,$6.99
President's Choice Kale Slaw,$3.99
Taylor Farms Broccoli Crunch Chopped Salad Kit,$6.99
Taylor Farms Maple Bourbon Bacon Chopped Salad Kit,$6.99
President's Choice Barbecue Ranch Chopped Salad Kit,$6.99
President's Choice Bacon Caesar Chop Salad Kit,$6.99
President's Choice Loads Of Garlic Caesar Salad Kit,$6.99
Popeye Select Spinach,$11.99
President's Choice Mixed Greens,$3.99
Large Greek Salad,$12.00
President's Choice Avocado Ranch Chopped Salad Kit,$6.99
President's Choice Southwest Salad Kit,$6.99
"Marzetti Veggie Dip, Ranch",$5.99
Taylor Farms Guacamole Crunch Chopped Salad Kit,$6.99
President's Choice Chopped Lemon Tahini Crunch Salad Kit,$6.99
President's Choice Caesar Salad Kit,$7.99
PC Organics Arugula & Baby Spinach Salad Mix,$5.99
PC Organics Organic Field Greens & Baby Spinach - Salad Mix,$7.99
President's Choice Chopped Harvest Crunch Salad Kit,$6.99
Premium Taco Salad,$9.00
Large Chicken Caesar Salad,$12.00
GoodLeaf Pea Shoots,$4.49
Large Neptune Crab Salad,$13.00
PC Organics Rose Spring Salad Mix,$5.99
"Taylor Farms Chopped Salad Kit, Vegetable Blend with Plant Based Salad Dressing",$6.99
"Harvest Mix (Snap Peas, Baby Carrots, Broccoli Crowns, Cauliflower Florets)",$7.00
"Marzetti Fruit Dip, Cream Cheese",$5.99
Cobb Salad with Cheddar Cheese,$9.00
Mediterranean Pasta Salad,$10.00
Renees Ranch Refrigerated Dip,$5.99
Marzetti Marzetti Chocolate Dip 250g,$5.99
Dip Roasted Garlic,$5.99
Snack Platter Vegetables,$6.00
Greenbelt Organic Super Crunch,$5.99
Carrots & Celery,$5.00
Matcha Broccoli Crunch,$6.49
Turkish Pearl Couscous Salad,$2.49
Chicken BLT Salad Mini,$5.00
The Ninja,$12.00
Romaine Salad Family Size,$15.00
Queso Dip,$5.99
Broccoli Cashew Crunch Salad,$2.49
Large Lobster Club Salad,$17.00
Pep In Your Step Snacking Kit,$3.99
Renees Mighty Caesar Dressing,$0.59
Mini Greek Salad,$5.00
"Neptune Crab Salad, Mini",$5.00
"Marzetti Veggie Dip, Dill",$5.99
Carrots & Cucumber,$5.00
GoodLeaf Micro Broccoli,$4.49
Carrots & Snap Peas,$6.00
Premium Greek Classic,$9.00
"Mediterranean Tuna Salad, Mini",$5.00
Caesar Salad Family Size,$17.00
Tiffany Gates Tiffany Gate Italian Gemelli Salad,$2.49
The Caesar Salad,$12.00
Taylor Farms Pizza Ranch Mini Chopped Salad Kit,$4.99
"Bio Raw, The Shred",$12.00
The Chop,$12.00
"Marzetti Veggie Dip, Spinach",$5.99
Wholly Guacamole Chunky Bowl,$5.99
Tiffany Gates Tiffany Gate Zesty Supergrain Salad,$2.49
"PC Organics Kale, Chard and Spinach Salad Mix",$5.99
Taylor Farms Nashville Hot Mini Chopped Salad Kit,$4.99
Taylor Farms Caesar Mini Chopped Salad Kit,$4.99
Fresh Attitude Spring Mix Salad with Toppings Single Sized,$5.99
GoodLeaf Micro Arugula,$4.49
Large Shrimp & Bacon Caesar Salad,$13.00
Premium Chicken BLT,$9.00
Caesar Salad Mini,$5.00
Greek Salad Family Size,$17.00
Quinoa Tabouleh Salad,$10.00
"Lobster Club Salad, Mini",$6.00
Marzetti Spinach Veggie Dip,$1.29
"Marzetti Veggie Dip, Light Ranch",$5.99
Chicken Caesar Salad Mini,$5.00
Raclette Vegetables,$5.00
Fresh Pico De Gallo Salsa,$5.00
Large House Cheddar Salad,$12.00
The Built,$12.00
Maple Tahini Crunch,$6.49
Del Monte Pico de Gallo,$4.99
Roasted Corn & Pepper Quinoa,$2.49
President's Choice Sweet Kale Salad Kit,$6.49
Fresh Attitude Caesar Salad with Toppings Single Sized,$5.99
Root Harvest Mix,$7.00
Marzetti Caramel Dip Snack,$6.49
Earthbound Farms Organic Organic Vegetable Tray with Ranch Dip,$9.99
Sweet Kale Salad Family Size,$17.00
Seasoned Creamer Potatoes,$6.00
Taylor Farms Chopped Kit Organic Lemon Parmesan,$7.99
Mixed Peppers,$5.00
Garden Life Green Leaf,$5.99
Chicken Caesar Salad Family Size,$17.00
Greek Pasta Olympia Salad,$2.49
Brussel Sprouts & Onion,$7.00
Large Mediterranean Tuna Salad,$13.00
Premium Chicken Caesar Salad,$9.00
Tiffany Gates Mexican Street Corn Salad,$2.49
Greenbelt Organic Arugula,$5.99
Deluxe Neptune Salad,$2.49
Chicken Salad,$10.00
"Fresh Guacamole, Small",$5.00
Dip Spinach,$5.99
President's Choice Ranch Pouch 44Ml,$0.59
Taylor Farms Citrus Crunch Mini Chopped Salad Kit,$4.99
Original Greek Acropolis Salad,$2.49
Grilled Chicken Caesar Pasta Salad,$2.49
President's Choice Dressing Blue Cheese,$0.59
Chick Pea/Artichoke/Sundried Tomato Salad,$2.49
Sweet Potato Fries,$5.00
Shanghai Stir Fry Kit,$8.49
Wholly Guacamole Classic Bowl,$5.99
"Taylor Farms Kale Caesar Chopped Kit, Organic, 156 G",$7.99
Orange You Glad Snacking Kit,$3.99
Snack  Platter,$8.00
"Taylor Farms Chimichurri Chopped Kit, Organic, 241 G",$7.99
The Freshh,$12.00
"Southwestern Chicken Salad, Family Size",$17.00
Egg O Licious Snacking Kit,$3.99
Lunch Size Veg and Dip 600G,$8.00
Tiffany Gates Tiffany Gate Feta Fiesta Kale Salad,$2.49
Premium Caesar Salad,$9.00
"Marzetti Veggie Dip, Southwest Ranch",$5.99
Taylor Farms Spiced Apple Chopped Salad Kit,$6.49
Greenbelt Organic Fresh Mix,$5.99
Garden Life Romaine,$5.99
Cheddar and Bacon Potato Salad,$2.49
The Balance,$12.00
Cobb with Cheddar Salad Mini,$5.00
"Marzetti Veggie Dip, Ranch Snack Pack",$6.99
Zesty Kale Caesar Kit,$6.49
Seasoned Asparagus Garlic Red Onions,$7.00
"Marzetti Veggie Dip, French Onion",$5.99
President's Choice Apple Cider Vin Pouch 45 Ml,$0.59
Honey Yuzu Coleslaw,$6.49
"Bio Raw, Fiesta",$12.00
Large House Salad,$12.00
President's Choice Baby Spinach And Tender Red Lettuce,$3.99
Renees Dressing And Dip Caesar Light,$0.59
Marzetti Chocolate Dip Original,$1.50
Sweet Kale,$9.00
24hr Notice Required - Premium Large Vegetable Platter,$40.00
"Renees Sweet Onion Vinaigrette, Pouch",$0.59
Taylor Farms Thai Chili Mango Chopped Salad Kit,$6.99
Marzetti Caramel Dip,$5.99
President's Choice Broccoli Florets,$3.99
"Veggie Platter, Small (Cauliflower, Broccoli, Carrots, & Celery)",$14.00
Gold Cored Pineapple,$5.99
Duda Farms Duda Celery Sticks,$5.99
President's Choice Green Beans,$5.99
President's Choice Broccoli Florets,$9.99
"Fresh Berry Bowl, Small",$6.00
Fruit Salad Large,$10.00
"Fresh Cut Fruit Salad, Small",$6.00
Mixed Fruit Parfait,$5.00
Pineapple Cubed Small,$6.00
Seedless Watermelon Quarters,$2.99
Veggie Tripack,$14.00
Small Cubed Cantaloupe,$6.00
Sunrich Sun Rich Sliced Red Apples,$6.00
Watermelon Cubed Small 300G,$6.00
Greek Yogurt Parfait,$5.00
President's Choice Vegetable Medley,$3.99
Watermelon Cubed Large,$9.00
Pineapple Cubed Large,$10.00
Mixed Melon Cubed Large,$10.00
Love Beets Cooked Beets,$5.49
"POM Wonderful Pomegranate, Fresh Arils",$7.99
Honeydew Cubed Small,$6.00
Strawberry Parfait,$5.00
"Snack Cup, Grapes & Cheese",$6.00
PC Organics Organic Broccoli Florets,$6.99
"President's Choice Butternut Squash, Diced",$4.99
"President's Choice Ready Veggie, Kale Blend",$5.99
Honeydew Slices,$6.00
President's Choice Shelled English Peas,$5.99
Baby Peeled Carrots,$5.99
Cauliflower Florets Multi-Colour Pack,$5.99
Manns Caulilini,$5.99
Chocolate Granola Packed Packed Parfait with Strawberries,$5.00
Peach Parfait,$5.00
"Cubed Kiwi & Strawberries, Small",$6.00
Sweet Peas,$4.99
President's Choice Sweet Potato,$4.99
Baby Corn,$5.99
Sunrich Apple Slices,$4.99
POM Wonderful Fresh Arils,$4.99
Cantaloupe Slices,$6.00
Love Beets Organic Cooked Beets,$5.99
President's Choice Brussel Sprouts,$11.99
President's Choice Crumbled Cauliflower,$3.99
PC Organics Organic Green Beans,$6.99
POM Wonderful Pomegranate Arils,$4.99
Cilantro,$1.99
Italian Parsley,$2.49
Curly Parsley,$2.49
President's Choice Basil,$2.99
"Fresh Dill, Baby",$2.99
"Mint, Fresh",$1.99
President's Choice Thyme,$2.99
President's Choice Rosemary,$2.99
President's Choice Chives,$2.99
President's Choice Mint,$2.99
President's Choice Basil,$4.29
President's Choice Sage,$2.99
President's Choice Dill,$2.99
President's Choice Cilantro,$2.99
PC Organics Organic Rosemary,$2.99
President's Choice Fresh Poultry Herb Blend,$2.99
PC Organics Organic Thyme,$2.99
Basil,$5.99
President's Choice Oregano,$2.99
PC Organics Organic Mint,$2.99
Gourmet Garden Paste Ginger,$5.99
Gourmet Garden Paste Garlic,$5.99
Gourmet Garden Paste Basil,$5.99
Gourmet Garden Lightly Dried Basil,$5.99
President's Choice Tarragon,$2.99
Gourmet Garden Lightly Dried Cilantro,$5.99
Gourmet Garden Paste Cilantro,$5.99
Gourmet Garden Paste Lemongrass,$5.99
Gourmet Garden Lightly Dried Parsley,$5.99
Gourmet Garden Paste Chunky Garlic,$5.99
President's Choice Bay Leaf,$2.99
Organic Basil Potted,$3.99
President's Choice Mint,$4.29
Organic Cilantro Bunched,$3.99
Gourmet Garden Paste Italian Herbs,$5.99
Organic Italian Parsley,$3.49
Gourmet Garden Paste Thai Seasoning,$5.99
Organic Curly Parsley,$3.49
Organic Rosemary Potted,$3.99
Organic Thyme Potted,$3.99
"Gourmet Garden Lightly Dried, Ginger Bowl",$5.99
Organic Thai Basil Potted,$3.99
Organic Mint Potted,$3.99
Ham Blend 6 Org Herb Pot,$6.99
Organic Sage,$3.99
President's Choice Marjoram,$2.99
President's Choice Savory,$2.99
"Organic Dill, Fresh",$3.99
Organic Oregano Potted,$3.99
Dates Medjool,$14.99
Walnuts,$0.33
"No Name Roasted Peanuts, No Salt",$6.99
No Name Roasted Peanuts In Shell,$13.99
Large Chestnuts,$0.99
President's Choice Salted California Pistachios,$5.99
President's Choice Salted California Pistachios,$10.99
Dried Turkish Apricots,$3.99
"No Name Raw, Unsalted Pumpkin Seeds",$2.49
Pitted Honey Dates,$6.49
Aurora Dried Turkish Figs,$3.99
PC Blue Menu Unsalted California Pistachios,$5.99
President's Choice Salted Virginia Peanuts,$4.79
Paramount Pistachios No Shells Roasted Light Salt,$8.99
"Paramount Wonderful Pistachios, Roasted & Salted",$6.49
PC Blue Menu Unsalted California Pistachios,$10.99
"Paramount Wonderful Pistachios, Sweet Chili",$6.49
"Paramount Pistachios, Salt & Pepper",$6.49
"No Name Raw, Unsalted Sunflower Seeds",$2.29
Aurora Sundried Tomatoes,$3.29
Honey Pitted Dates,$4.99
Aurora Roasted Chestnuts,$3.29
Bard Valley Natural Delights Pitted Medjool Dates,$10.99
Paramount Pistachios No Shells Chili Roasted,$8.99
Organic Dried Figs,$5.99
"Wonderful Pistachios, Shelled",$8.99
"Paramount No shell Pistachios, Sea Salt & Vinegar",$8.99
Organic Dates,$6.99
Organic Medjool Dates,$12.49
7D Dried Mangos,$9.99
"Paramount Pistachios, Roasted & Unsalted",$6.49
Golden Figs,$6.49
President's Choice Dry-Roasted Sea Salt Pistachios,$7.99
Paramount Pistachios No Shells Honey Roasted,$8.99
Paramount No shell BBQ Pistachios,$8.99
Organic Dried Apricots,$6.49
President's Choice Honey Roasted Pistachio,$7.99
Paramount Pistachios Lightly Salted,$12.99
Coconut Rolled Medjool Dates,$8.99
Paramount Sea Salt & Pepper Pistachios No Shells,$8.99
President's Choice Walnuts,$4.99
President's Choice Mixed Nuts in Shell,$11.99
President's Choice Mixed Nuts,$6.99
President's Choice Hazelnuts in Shell,$7.99
Aurora Oven Cooked Figs with Almonds,$11.99
Chestnuts,$9.99
Aurora Oven Cooked Figs,$10.99
Pecans in Shell,$7.99
"Paramount Wonderful Pistachios, Raw",$12.99
Aurora Greek String,$5.49
Mini Medjools Organic Cranberry Pistachio,$9.99
Medjool Premium Chopped Dates,$9.99
POM Wonderful 100% Pomegranate Juice,$14.99
Bolthouse Green Goodness,$9.99
Bolthouse C-Boost,$6.99
Bolthouse Green Goodness,$6.99
Bolthouse 100% Carrot,$9.99
Bolthouse Berry Boost,$6.99
